OrigFolder,Latitude,Longitude
L18_February-May_2016-113EK113,N00 39.179,E036 45.458
L18_February-May_2016-114EK113,N00 39.179,E036 45.458
L18_February-May_2016-115EK113,N00 39.179,E036 45.458
l18_loisaba_may_october_2016_100ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_101ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_102ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_103ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_104ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_105ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_106ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_107ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_108ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_109ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_110ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_111ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_112ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_113ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_114ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_115ek113,N00 36.746,E036 51.676
L2_March-April_2017,N00 38.529,E036 46.643
L2_May-October_2016-100EK113,N00 37.609,E036 47.427
L2_May-October_2016-101EK113,N00 37.609,E036 47.427
L2_May-October_2016-102EK113,N00 37.609,E036 47.427
L2_May-October_2016-103EK113,N00 37.609,E036 47.427
L2_May-October_2016-104EK113,N00 37.609,E036 47.427
L2_May-October_2016-105EK113,N00 37.609,E036 47.427
L22_March-April_2017,N00 38.494,E036 49.278
L24_March-April_2017,N00 38.650,E036 50.974
L3_February-May_2016-100EK113,N00 35.987,E036 49.553
L3_February-May_2016-101EK113,N00 35.987,E036 49.553
L3_February-May_2016-102EK113,N00 35.987,E036 49.553
L3_February-May_2016-103EK113,N00 35.987,E036 49.553
L3_February-May_2016-104EK113,N00 35.987,E036 49.553
L3_February-May_2016-105EK113,N00 35.987,E036 49.553
L3_February-May_2016-106EK113,N00 35.987,E036 49.553
L3_February-May_2016-107EK113,N00 35.987,E036 49.553
L3_February-May_2016-108EK113,N00 35.987,E036 49.553
L3_February-May_2016-109EK113,N00 35.987,E036 49.553
L3_February-May_2016-110EK113,N00 35.987,E036 49.553
L3_February-May_2016-111EK113,N00 35.987,E036 49.553
L3_February-May_2016-112EK113,N00 35.987,E036 49.553
L3_February-May_2016-113EK113,N00 35.987,E036 49.553
L3_February-May_2016-114EK113,N00 35.987,E036 49.553
L3_February-May_2016-115EK113,N00 35.987,E036 49.553
L3_May-October_2016-100EK113,N00 37.950,E036 49.316
L3_May-October_2016-101EK113,N00 37.950,E036 49.316
L3_May-October_2016-102EK113,N00 37.950,E036 49.316
L3_May-October_2016-103EK113,N00 37.950,E036 49.316
l32_loisaba_may_october_2016_100ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_101ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_102ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_103ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_104ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_105ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_106ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_107ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_108ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_109ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_110ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_111ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_112ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_113ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_114ek113,N00 39.886,E036 50.566
L34_May_To_Oct_2016_unfolded,N00 37.460,E036 44.722
L43_May_To_Oct_2016,N00 35.311,E036 51.122
l44_loisaba_may_october_2016_100ek113,N00 34.483,E036 47.353
l44_loisaba_may_october_2016_101ek113,N00 34.483,E036 47.353
l45_loisaba_may_october_2016_100ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_101ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_102ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_103ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_104ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_105ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_106ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_107ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_108ek113,N00 34.977,E036 47.571
l45_loisaba_may_october_2016_109ek113,N00 34.977,E036 47.571
L52_March-April_2017,N00 35.983,E036 47.486
L57_a_March-April_2017,N00 36.833,E036 49.256
L57_b_March-April_2017,N00 36.833,E036 49.256
L6_March-April_2017,N00 39.525,E036 45.750
L6_May_To_Oct_2016,unknown,unknown
